doc.value,author.value,author_name.value,coauthors.value
https://data.archives-ouvertes.fr/document/hal-01242438v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Gilles Bernot&https://data.archives-ouvertes.fr/author/368823--Jean-Paul Comet&https://data.archives-ouvertes.fr/author/jean-paulcomet--Siamak Taati&https://data.archives-ouvertes.fr/author/302427
https://data.archives-ouvertes.fr/document/hal-00310523v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Alberto Dennunzio&https://data.archives-ouvertes.fr/author/292700--Luigi Acerbi&https://data.archives-ouvertes.fr/author/336024
https://data.archives-ouvertes.fr/document/hal-01297566v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Alberto Dennunzio&https://data.archives-ouvertes.fr/author/1319810--Gianpiero Cattaneo&https://data.archives-ouvertes.fr/author/1319809--Julien Provillard&https://data.archives-ouvertes.fr/author/julien-provillard
https://data.archives-ouvertes.fr/document/hal-00686571v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Bruno Martin&https://data.archives-ouvertes.fr/author/129716--Jean-Baptiste Yunès&https://data.archives-ouvertes.fr/author/jean-baptiste-yunes--Katsunobu Imai&https://data.archives-ouvertes.fr/author/344096
https://data.archives-ouvertes.fr/document/hal-00311074v1,https://data.archives-ouvertes.fr/author/46481,Benoît Masson,Enrico Formenti&https://data.archives-ouvertes.fr/author/enrico-formenti--Theophilos Pisokas&https://data.archives-ouvertes.fr/author/109941
https://data.archives-ouvertes.fr/document/hal-00003208v1,https://data.archives-ouvertes.fr/author/46481,Benoît Masson,Enrico Formenti&https://data.archives-ouvertes.fr/author/enrico-formenti--Julien Cervelle&https://data.archives-ouvertes.fr/author/julien-cervelle
https://data.archives-ouvertes.fr/document/hal-00310905v1,https://data.archives-ouvertes.fr/author/46481,Benoît Masson,Enrico Formenti&https://data.archives-ouvertes.fr/author/enrico-formenti--Julien Cervelle&https://data.archives-ouvertes.fr/author/julien-cervelle
https://data.archives-ouvertes.fr/document/hal-00003535v1,https://data.archives-ouvertes.fr/author/46481,Benoît Masson,Enrico Formenti&https://data.archives-ouvertes.fr/author/enrico-formenti
https://data.archives-ouvertes.fr/document/hal-00083034v1,https://data.archives-ouvertes.fr/author/46481,Benoît Masson,Enrico Formenti&https://data.archives-ouvertes.fr/author/enrico-formenti--Theophilos Pisokas&https://data.archives-ouvertes.fr/author/109941
https://data.archives-ouvertes.fr/document/hal-01612451v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Olivier Gargominy&https://data.archives-ouvertes.fr/author/1689511--Sandrine Tercerie&https://data.archives-ouvertes.fr/author/1613472
https://data.archives-ouvertes.fr/document/hal-01245883v2,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat
https://data.archives-ouvertes.fr/document/hal-01531219v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby--Rose Dieng-Kuntz&https://data.archives-ouvertes.fr/author/98115
